FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-21 16:12:25

Topology Overview:
  Number of nodes: 368
  Number of functions: 15
  Number of images: 5

Node Distribution:
  rpi4_56: 54 invocations (0.1%)
  rpi4_41: 140 invocations (0.1%)
  rpi3_42: 80 invocations (0.1%)
  rpi3_43: 79 invocations (0.1%)
  rockpi_85: 155 invocations (0.1%)
  rpi3_44: 80 invocations (0.1%)
  rpi3_74: 24 invocations (0.0%)
  rpi3_73: 24 invocations (0.0%)
  rockpi_52: 145 invocations (0.1%)
  rpi4_87: 123 invocations (0.1%)
  rpi4_146: 54 invocations (0.1%)
  rpi4_6: 52 invocations (0.0%)
  rpi4_7: 43 invocations (0.0%)
  rpi4_124: 109 invocations (0.1%)
  rockpi_51: 128 invocations (0.1%)
  rpi3_110: 67 invocations (0.1%)
  rpi3_109: 67 invocations (0.1%)
  rpi3_108: 68 invocations (0.1%)
  rockpi_39: 119 invocations (0.1%)
  rpi3_41: 20 invocations (0.0%)
  rockpi_73: 133 invocations (0.1%)
  rockpi_47: 100 invocations (0.1%)
  rpi3_3: 53 invocations (0.1%)
  rpi3_19: 54 invocations (0.1%)
  rpi3_4: 54 invocations (0.1%)
  rpi3_18: 54 invocations (0.1%)
  rockpi_58: 87 invocations (0.1%)
  rpi3_5: 54 invocations (0.1%)
  rockpi_62: 117 invocations (0.1%)
  coral_8: 36 invocations (0.0%)
  rockpi_42: 80 invocations (0.1%)
  rockpi_26: 108 invocations (0.1%)
  rpi3_60: 16 invocations (0.0%)
  rockpi_55: 100 invocations (0.1%)
  rpi4_9: 76 invocations (0.1%)
  rpi4_8: 76 invocations (0.1%)
  rpi3_62: 16 invocations (0.0%)
  rpi4_117: 76 invocations (0.1%)
  rpi4_116: 60 invocations (0.1%)
  rpi4_92: 63 invocations (0.1%)
  rpi3_61: 14 invocations (0.0%)
  rpi4_76: 26 invocations (0.0%)
  rpi4_77: 32 invocations (0.0%)
  rpi4_16: 29 invocations (0.0%)
  rpi4_113: 60 invocations (0.1%)
  rpi4_123: 47 invocations (0.0%)
