FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-21 16:01:09

Total deployment events: 2182
Number of node-function combinations: 646

Event Type Summary:
  Deployment events: 15
  Replica events: 1200
  Network events: 967

CHRONOLOGICAL TIMELINE
======================

t=  15.0s | replica    | rpi4_56              | resnet50-inference-residential | deploy replica of resnet50-inference-residential
t=  15.0s | network    | rpi4_34 → nuc_5      | unknown                   | data_download (55.3 MB)
t=  15.1s | network    | rpi4_34 → nuc_4      | unknown                   | data_download (55.3 MB)
t=  15.2s | network    | rpi4_34 → nuc_5      | unknown                   | data_download (55.3 MB)
t=  15.3s | network    | rpi4_34 → nuc_4      | unknown                   | data_download (55.3 MB)
t=  15.4s | network    | rpi4_34 → rpi4_0     | unknown                   | data_download (45.8 MB)
t=  15.5s | network    | rpi4_34 → nuc_5      | unknown                   | data_download (55.3 MB)
t=  15.6s | network    | rpi4_34 → nuc_4      | unknown                   | data_download (55.3 MB)
t=  15.7s | network    | rpi4_34 → nuc_4      | unknown                   | data_download (55.3 MB)
t=  15.8s | network    | registry → rockpi_30 | unknown                   | docker_pull (38.1 MB)
t=  15.9s | network    | registry → rockpi_0  | unknown                   | docker_pull (38.1 MB)
t=  16.0s | replica    | nuc_0                | resnet50-training         | deploy replica of resnet50-training
t=  16.0s | network    | registry → rpi4_31   | unknown                   | docker_pull (66.8 MB)
t=  16.1s | network    | registry → rpi4_42   | unknown                   | docker_pull (66.8 MB)
t=  16.2s | network    | registry → rpi4_43   | unknown                   | docker_pull (66.8 MB)
t=  16.3s | network    | registry → rpi3_12   | unknown                   | docker_pull (66.8 MB)
t=  16.4s | network    | registry → rpi3_13   | unknown                   | docker_pull (66.8 MB)
t=  16.5s | network    | rpi4_34 → rpi4_1     | unknown                   | data_download (45.8 MB)
t=  16.6s | network    | rpi4_34 → rpi3_53    | unknown                   | data_download (45.8 MB)
t=  16.7s | network    | registry → rockpi_16 | unknown                   | docker_pull (182.2 MB)
t=  16.8s | network    | registry → rockpi_18 | unknown                   | docker_pull (182.2 MB)
t=  16.9s | network    | registry → nuc_14    | unknown                   | docker_pull (190.7 MB)
t=  17.0s | replica    | nuc_1                | resnet50-training-downtown | deploy replica of resnet50-training-downtown
t=  17.0s | network    | registry → nuc_15    | unknown                   | docker_pull (190.7 MB)
t=  17.1s | network    | rpi4_34 → rockpi_8   | unknown                   | data_download (45.8 MB)
t=  17.2s | network    | registry → rockpi_23 | unknown                   | docker_pull (38.1 MB)
t=  17.3s | network    | registry → rockpi_31 | unknown                   | docker_pull (38.1 MB)
