FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-24 15:46:08

Total deployment events: 1580
Number of node-function combinations: 230

Event Type Summary:
  Deployment events: 4
  Replica events: 957
  Network events: 619

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-training         | deploy resnet50-training
t=  19.0s | replica    | nx_2                 | resnet50-training-downtown | setup replica of resnet50-training-downtown
t=  19.0s | network    | nuc_9 → xeongpu_2    | unknown                   | data_download (55.3 MB)
t=  19.1s | network    | nuc_9 → xeongpu_3    | unknown                   | data_download (55.3 MB)
t=  19.2s | network    | nuc_9 → xeongpu_5    | unknown                   | data_download (55.3 MB)
t=  19.3s | network    | nuc_9 → xeongpu_2    | unknown                   | data_download (55.3 MB)
t=  19.4s | network    | nuc_9 → xeongpu_3    | unknown                   | data_download (55.3 MB)
t=  19.5s | network    | nuc_9 → xeongpu_5    | unknown                   | data_download (55.3 MB)
t=  19.6s | network    | nuc_9 → xeongpu_4    | unknown                   | data_download (55.3 MB)
t=  19.7s | network    | nuc_9 → xeongpu_3    | unknown                   | data_download (55.3 MB)
t=  19.8s | network    | nuc_9 → xeongpu_2    | unknown                   | data_download (55.3 MB)
t=  19.9s | network    | registry → nuc_20    | unknown                   | docker_pull (190.7 MB)
t=  20.0s | replica    | nx_2                 | resnet50-training-downtown | finish replica of resnet50-training-downtown
t=  20.0s | network    | registry → nuc_21    | unknown                   | docker_pull (190.7 MB)
t=  20.1s | network    | registry → nuc_22    | unknown                   | docker_pull (190.7 MB)
t=  20.2s | network    | registry → nuc_23    | unknown                   | docker_pull (190.7 MB)
t=  20.3s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  20.4s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  20.5s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  20.6s | network    | nuc_9 → xeongpu_2    | unknown                   | data_download (55.3 MB)
t=  20.7s | network    | nuc_9 → xeongpu_2    | unknown                   | data_download (55.3 MB)
t=  20.8s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  20.9s | network    | nuc_9 → xeongpu_3    | unknown                   | data_download (55.3 MB)
t=  21.0s | replica    | nx_3                 | resnet50-training-suburb  | deploy replica of resnet50-training-suburb
t=  21.0s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  21.1s | network    | nuc_9 → xeongpu_2    | unknown                   | data_download (55.3 MB)
t=  21.2s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  21.3s | network    | nuc_9 → xeongpu_3    | unknown                   | data_download (55.3 MB)
t=  21.4s | network    | nuc_9 → xeongpu_0    | unknown                   | data_download (55.3 MB)
t=  21.5s | network    | nuc_9 → xeongpu_2    | unknown                   | data_download (55.3 MB)
t=  21.6s | network    | nuc_9 → xeongpu_1    | unknown                   | data_download (55.3 MB)
t=  21.7s | network    | registry → nuc_24    | unknown                   | docker_pull (190.7 MB)
t=  21.8s | network    | registry → nuc_25    | unknown                   | docker_pull (190.7 MB)
t=  21.9s | network    | registry → nuc_26    | unknown                   | docker_pull (190.7 MB)
t=  22.0s | replica    | nx_3                 | resnet50-training-industrial | deploy replica of resnet50-training-industrial
t=  22.0s | network    | registry → nuc_27    | unknown                   | docker_pull (190.7 MB)
t=  22.1s | network    | nuc_9 → xeongpu_3    | unknown                   | data_download (55.3 MB)
t=  22.2s | network    | nuc_9 → xeongpu_3    | unknown                   | data_download (55.3 MB)
t=  22.3s | network    | registry → nuc_28    | unknown                   | docker_pull (190.7 MB)
t=  22.4s | network    | registry → nuc_29    | unknown                   | docker_pull (190.7 MB)
t=  22.5s | network    | registry → nuc_30    | unknown                   | docker_pull (190.7 MB)
t=  22.6s | network    | registry → nuc_31    | unknown                   | docker_pull (190.7 MB)
t=  22.7s | network    | registry → nuc_32    | unknown                   | docker_pull (190.7 MB)
t=  22.8s | network    | registry → nuc_33    | unknown                   | docker_pull (190.7 MB)
t=  22.9s | network    | registry → nuc_34    | unknown                   | docker_pull (190.7 MB)
t=  23.0s | replica    | nx_3                 | resnet50-training-industrial | startup replica of resnet50-training-industrial
t=  23.0s | network    | registry → nuc_35    | unknown                   | docker_pull (190.7 MB)
t=  23.1s | network    | nuc_9 → xeongpu_5    | unknown                   | data_download (55.3 MB)
t=  23.2s | network    | nuc_9 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  23.3s | network    | nuc_9 → xeongpu_4    | unknown                   | data_download (55.3 MB)
t=  23.4s | network    | nuc_9 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  23.5s | network    | nuc_9 → xeongpu_5    | unknown                   | data_download (55.3 MB)
