FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-23 14:32:44

Topology Overview:
  Number of nodes: 225
  Number of functions: 18
  Number of images: 3

Node Distribution:
  registry → rockpi_89: 220.30 MB in 2.55 s
  registry → rockpi_9: 220.30 MB in 1.91 s
  registry → rockpi_90: 182.15 MB in 1.58 s
  registry → rockpi_91: 38.15 MB in 0.33 s
  registry → rockpi_92: 220.30 MB in 1.91 s
  registry → rockpi_93: 182.15 MB in 1.58 s
  registry → rockpi_94: 220.30 MB in 1.91 s
  registry → rockpi_95: 38.15 MB in 0.40 s
  registry → rockpi_96: 38.15 MB in 0.33 s
  registry → rockpi_97: 38.15 MB in 0.33 s
  registry → rockpi_98: 182.15 MB in 1.58 s
  registry → rpi3_0: 66.76 MB in 0.58 s
  registry → rpi3_1: 66.76 MB in 0.58 s
  registry → rpi3_10: 66.76 MB in 0.58 s
  registry → rpi3_100: 197.41 MB in 1.71 s
  registry → rpi3_101: 197.41 MB in 1.71 s
  registry → rpi3_102: 197.41 MB in 1.71 s
  registry → rpi3_103: 66.76 MB in 0.58 s
  registry → rpi3_104: 66.76 MB in 0.58 s
  registry → rpi3_105: 66.76 MB in 0.58 s
  registry → rpi3_106: 66.76 MB in 0.58 s
  registry → rpi3_107: 66.76 MB in 0.58 s
  registry → rpi3_108: 66.76 MB in 0.58 s
  registry → rpi3_109: 66.76 MB in 0.58 s
  registry → rpi3_11: 66.76 MB in 0.58 s
  registry → rpi3_110: 66.76 MB in 0.58 s
  registry → rpi3_111: 66.76 MB in 0.58 s
  registry → rpi3_112: 197.41 MB in 1.71 s
  registry → rpi3_113: 197.41 MB in 1.71 s
  registry → rpi3_114: 66.76 MB in 0.58 s
  registry → rpi3_115: 66.76 MB in 0.58 s
  registry → rpi3_116: 66.76 MB in 0.58 s
  registry → rpi3_117: 130.65 MB in 1.13 s
  registry → rpi3_118: 130.65 MB in 1.13 s
  registry → rpi3_119: 66.76 MB in 0.58 s
  registry → rpi3_12: 66.76 MB in 0.58 s
  registry → rpi3_120: 66.76 MB in 0.58 s
  registry → rpi3_121: 66.76 MB in 0.58 s
  registry → rpi3_122: 66.76 MB in 0.58 s
  registry → rpi3_123: 66.76 MB in 0.58 s
  registry → rpi3_124: 66.76 MB in 0.58 s
  registry → rpi3_125: 98.23 MB in 0.86 s
  registry → rpi3_126: 66.76 MB in 0.58 s
  registry → rpi3_127: 66.76 MB in 0.58 s
  registry → rpi3_128: 66.76 MB in 0.58 s
  registry → rpi3_129: 66.76 MB in 0.58 s
  registry → rpi3_13: 66.76 MB in 0.58 s
  registry → rpi3_130: 66.76 MB in 0.58 s
  registry → rpi3_131: 31.47 MB in 0.28 s
  registry → rpi3_132: 31.47 MB in 0.28 s
  registry → rpi3_133: 162.12 MB in 1.41 s
  registry → rpi3_134: 162.12 MB in 1.41 s
  registry → rpi3_135: 98.23 MB in 0.86 s
  registry → rpi3_136: 98.23 MB in 0.86 s
  registry → rpi3_137: 31.47 MB in 0.28 s
  registry → rpi3_138: 98.23 MB in 0.86 s
  registry → rpi3_139: 197.41 MB in 1.71 s
  registry → rpi3_14: 66.76 MB in 0.58 s
  registry → rpi3_140: 197.41 MB in 1.71 s
  registry → rpi3_141: 31.47 MB in 0.28 s
  registry → rpi3_142: 130.65 MB in 1.13 s
  registry → rpi3_143: 130.65 MB in 1.13 s
  registry → rpi3_144: 66.76 MB in 0.58 s
  registry → rpi3_145: 66.76 MB in 0.58 s
  registry → rpi3_146: 66.76 MB in 0.58 s
  registry → rpi3_147: 66.76 MB in 0.58 s
  registry → rpi3_148: 66.76 MB in 0.58 s
  registry → rpi3_149: 66.76 MB in 0.58 s
  registry → rpi3_15: 66.76 MB in 0.58 s
  registry → rpi3_150: 66.76 MB in 0.58 s
  registry → rpi3_151: 66.76 MB in 0.58 s
  registry → rpi3_152: 66.76 MB in 0.58 s
  registry → rpi3_153: 66.76 MB in 0.58 s
  registry → rpi3_154: 66.76 MB in 0.58 s
  registry → rpi3_155: 66.76 MB in 0.58 s
  registry → rpi3_156: 130.65 MB in 1.13 s
  registry → rpi3_157: 130.65 MB in 1.13 s
  registry → rpi3_158: 66.76 MB in 0.58 s
  registry → rpi3_159: 66.76 MB in 0.58 s
  registry → rpi3_16: 66.76 MB in 0.58 s
  registry → rpi3_160: 66.76 MB in 0.58 s
  registry → rpi3_161: 66.76 MB in 0.58 s
  registry → rpi3_162: 162.12 MB in 1.41 s
  registry → rpi3_163: 197.41 MB in 1.71 s
  registry → rpi3_164: 197.41 MB in 1.71 s
  registry → rpi3_165: 98.23 MB in 0.86 s
  registry → rpi3_166: 98.23 MB in 0.86 s
  registry → rpi3_167: 98.23 MB in 0.86 s
  registry → rpi3_168: 66.76 MB in 0.58 s
  registry → rpi3_169: 66.76 MB in 0.58 s
  registry → rpi3_17: 66.76 MB in 0.58 s
  registry → rpi3_170: 66.76 MB in 0.58 s
  registry → rpi3_171: 31.47 MB in 0.28 s
  registry → rpi3_172: 31.47 MB in 0.28 s
  registry → rpi3_173: 162.12 MB in 1.41 s
  registry → rpi3_174: 66.76 MB in 0.58 s
