FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-31 16:58:49

Total deployment events: 3423
Number of node-function combinations: 1152

Event Type Summary:
  Deployment events: 7
  Replica events: 2828
  Network events: 588

CHRONOLOGICAL TIMELINE
======================

t=  28.9s | network    | registry → rpi3_44   | unknown                   | docker_pull (52.5 MB)
t=  29.0s | replica    | rpi3_205             | python-pi-downtown        | deploy replica of python-pi-downtown
t=  29.0s | network    | registry → rpi4_186  | unknown                   | docker_pull (19.1 MB)
t=  29.1s | network    | registry → rpi4_187  | unknown                   | docker_pull (19.1 MB)
t=  29.2s | network    | registry → rpi3_138  | unknown                   | docker_pull (52.5 MB)
t=  29.3s | network    | registry → rpi3_139  | unknown                   | docker_pull (52.5 MB)
t=  29.4s | network    | registry → rockpi_55 | unknown                   | docker_pull (59.1 MB)
t=  29.5s | network    | registry → coral_3   | unknown                   | docker_pull (59.1 MB)
t=  29.6s | network    | registry → rpi4_88   | unknown                   | docker_pull (19.1 MB)
t=  29.7s | network    | registry → rpi4_89   | unknown                   | docker_pull (19.1 MB)
t=  29.8s | network    | registry → rpi3_140  | unknown                   | docker_pull (52.5 MB)
t=  29.9s | network    | registry → rockpi_125 | unknown                   | docker_pull (59.1 MB)
t=  30.0s | replica    | rpi3_206             | python-pi-suburb          | deploy replica of python-pi-suburb
t=  30.0s | network    | registry → rpi4_88   | unknown                   | docker_pull (52.5 MB)
t=  30.1s | network    | registry → rpi4_89   | unknown                   | docker_pull (52.5 MB)
t=  30.2s | network    | registry → rpi4_75   | unknown                   | docker_pull (19.1 MB)
t=  30.3s | network    | registry → rpi4_74   | unknown                   | docker_pull (19.1 MB)
t=  30.4s | network    | registry → rockpi_7  | unknown                   | docker_pull (59.1 MB)
