FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-31 17:00:27

Topology Overview:
  Number of nodes: 425
  Number of functions: 7
  Number of images: 2

Node Distribution:
  rpi4_131: 8 invocations (0.0%)
  rpi4_210: 17 invocations (0.1%)
  rpi4_163: 8 invocations (0.0%)
  rpi3_127: 6 invocations (0.0%)
  rpi4_130: 18 invocations (0.1%)
  rpi4_162: 18 invocations (0.1%)
  rpi4_211: 8 invocations (0.0%)
  rpi4_7: 8 invocations (0.0%)
  rpi4_220: 16 invocations (0.1%)
  rockpi_11: 11 invocations (0.1%)
  rockpi_135: 11 invocations (0.1%)
  rockpi_26: 10 invocations (0.1%)
  rpi4_6: 16 invocations (0.1%)
  rpi4_236: 6 invocations (0.0%)
  rpi4_235: 14 invocations (0.1%)
  rockpi_43: 10 invocations (0.1%)
  rpi4_126: 6 invocations (0.0%)
  rpi3_94: 5 invocations (0.0%)
  rpi4_237: 13 invocations (0.1%)
  rpi3_93: 5 invocations (0.0%)
  rpi3_79: 5 invocations (0.0%)
  rockpi_101: 9 invocations (0.1%)
  rpi4_127: 12 invocations (0.1%)
  rpi3_95: 5 invocations (0.0%)
  rpi4_90: 6 invocations (0.0%)
  rockpi_42: 8 invocations (0.0%)
  rpi4_115: 10 invocations (0.1%)
  rpi4_234: 11 invocations (0.1%)
  rpi3_78: 4 invocations (0.0%)
  rpi3_180: 4 invocations (0.0%)
  rpi3_80: 4 invocations (0.0%)
  rpi3_182: 4 invocations (0.0%)
  rockpi_23: 8 invocations (0.0%)
  rpi4_114: 5 invocations (0.0%)
  rockpi_15: 7 invocations (0.0%)
  rpi4_91: 9 invocations (0.1%)
  rpi4_37: 9 invocations (0.1%)
  rockpi_13: 7 invocations (0.0%)
  rpi3_181: 4 invocations (0.0%)
  rockpi_65: 7 invocations (0.0%)
  rpi4_36: 5 invocations (0.0%)
  rockpi_5: 6 invocations (0.0%)
  rpi3_55: 3 invocations (0.0%)
  rpi3_227: 3 invocations (0.0%)
  rpi3_16: 3 invocations (0.0%)
  rpi3_56: 3 invocations (0.0%)
  rpi3_240: 3 invocations (0.0%)
  rpi3_179: 3 invocations (0.0%)
  rpi3_177: 3 invocations (0.0%)
  coral_6: 3 invocations (0.0%)
  rpi3_178: 3 invocations (0.0%)
  rpi3_100: 3 invocations (0.0%)
  rpi3_17: 2 invocations (0.0%)
  rpi4_24: 2 invocations (0.0%)
  rpi3_225: 2 invocations (0.0%)
  rpi3_9: 2 invocations (0.0%)
  rockpi_17: 3 invocations (0.0%)
  rpi4_40: 2 invocations (0.0%)
  rpi4_30: 2 invocations (0.0%)
  rpi3_11: 2 invocations (0.0%)
  rpi4_25: 4 invocations (0.0%)
  rpi3_101: 2 invocations (0.0%)
  rpi3_124: 2 invocations (0.0%)
  rpi4_159: 2 invocations (0.0%)
  rpi3_197: 2 invocations (0.0%)
  rpi3_123: 2 invocations (0.0%)
  rpi3_195: 1 invocations (0.0%)
  rpi3_15: 5 invocations (0.0%)
  rpi3_226: 4 invocations (0.0%)
  rpi3_99: 1 invocations (0.0%)
  rpi4_158: 1 invocations (0.0%)
  rockpi_0: 2 invocations (0.0%)
  rpi3_54: 4 invocations (0.0%)
  rpi3_196: 1 invocations (0.0%)
  rpi3_10: 3 invocations (0.0%)
  rpi4_41: 1 invocations (0.0%)
  rpi4_31: 1 invocations (0.0%)
  rpi3_125: 1 invocations (0.0%)
  rpi3_5: 1 invocations (0.0%)
  coral_7: 1 invocations (0.0%)
  rpi3_4: 1 invocations (0.0%)
  rpi3_33: 1 invocations (0.0%)
  rpi3_3: 1 invocations (0.0%)
  rpi4_223: 1 invocations (0.0%)
  rpi4_113: 1 invocations (0.0%)
  rpi4_9: 1 invocations (0.0%)
  rockpi_111: 1 invocations (0.0%)

Function Distribution:
  python-pi-downtown: 2513 invocations (15.1%)
