FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-08-19 03:58:07

Total deployment events: 2092
Number of node-function combinations: 459

Event Type Summary:
  Deployment events: 6
  Replica events: 1338
  Network events: 748

CHRONOLOGICAL TIMELINE
======================

t=  21.5s | network    | registry → rpi3_2    | unknown                   | docker_pull (31.5 MB)
t=  21.6s | network    | registry → rockpi_23 | unknown                   | docker_pull (59.1 MB)
t=  21.7s | network    | rockpi_4 → rpi3_2    | unknown                   | data_download (45.8 MB)
t=  21.8s | network    | registry → nx_8      | unknown                   | docker_pull (95.4 MB)
t=  21.9s | network    | registry → nano_4    | unknown                   | docker_pull (95.4 MB)
t=  22.0s | replica    | rockpi_30            | resnet50-preprocessing    | setup replica of resnet50-preprocessing
t=  22.0s | network    | rockpi_4 → nx_8      | unknown                   | data_download (98.2 MB)
t=  22.1s | network    | rockpi_4 → nano_4    | unknown                   | data_download (55.3 MB)
t=  22.2s | network    | rockpi_4 → nano_4    | unknown                   | data_download (55.3 MB)
t=  22.3s | network    | rockpi_4 → nano_4    | unknown                   | data_download (55.3 MB)
t=  22.4s | network    | rockpi_4 → nano_4    | unknown                   | data_download (55.3 MB)
t=  22.5s | network    | registry → rpi3_9    | unknown                   | docker_pull (19.1 MB)
t=  22.6s | network    | registry → rockpi_23 | unknown                   | docker_pull (38.1 MB)
t=  22.7s | network    | registry → rockpi_11 | unknown                   | docker_pull (59.1 MB)
t=  22.8s | network    | registry → coral_0   | unknown                   | docker_pull (80.1 MB)
t=  22.9s | network    | rockpi_4 → rockpi_23 | unknown                   | data_download (45.8 MB)
t=  23.0s | replica    | rockpi_30            | resnet50-preprocessing    | finish replica of resnet50-preprocessing
t=  23.0s | network    | rockpi_4 → coral_0   | unknown                   | data_download (98.2 MB)
t=  23.1s | network    | registry → nuc_0     | unknown                   | docker_pull (190.7 MB)
t=  23.2s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  23.3s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  23.4s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  23.5s | network    | registry → coral_2   | unknown                   | docker_pull (80.1 MB)
t=  23.6s | network    | registry → nuc_1     | unknown                   | docker_pull (190.7 MB)
t=  23.7s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  23.8s | network    | rockpi_4 → coral_2   | unknown                   | data_download (98.2 MB)
t=  23.9s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  24.0s | replica    | nx_3                 | resnet50-inference        | deploy replica of resnet50-inference
t=  24.0s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  24.1s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  24.2s | network    | registry → rpi3_10   | unknown                   | docker_pull (19.1 MB)
t=  24.3s | network    | registry → rockpi_25 | unknown                   | docker_pull (59.1 MB)
t=  24.4s | network    | registry → rpi3_11   | unknown                   | docker_pull (66.8 MB)
t=  24.5s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  24.6s | network    | registry → nuc_2     | unknown                   | docker_pull (190.7 MB)
t=  24.7s | network    | rockpi_4 → rpi3_11   | unknown                   | data_download (98.2 MB)
t=  24.8s | network    | rockpi_4 → nuc_2     | unknown                   | data_download (55.3 MB)
t=  24.9s | network    | rockpi_4 → nuc_2     | unknown                   | data_download (55.3 MB)
t=  25.0s | replica    | rockpi_8             | python-pi                 | deploy replica of python-pi
t=  25.0s | network    | rockpi_4 → nuc_2     | unknown                   | data_download (55.3 MB)
t=  25.1s | network    | registry → rpi3_15   | unknown                   | docker_pull (66.8 MB)
t=  25.2s | network    | rockpi_4 → nuc_2     | unknown                   | data_download (55.3 MB)
t=  25.3s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  25.4s | network    | rockpi_4 → rpi3_15   | unknown                   | data_download (98.2 MB)
t=  25.5s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  25.6s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  25.7s | network    | registry → rpi3_11   | unknown                   | docker_pull (19.1 MB)
t=  25.8s | network    | registry → rockpi_1  | unknown                   | docker_pull (59.1 MB)
t=  25.9s | network    | registry → rpi3_16   | unknown                   | docker_pull (66.8 MB)
t=  26.0s | replica    | rockpi_8             | python-pi                 | startup replica of python-pi
t=  26.0s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  26.1s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  26.2s | network    | rockpi_4 → rpi3_16   | unknown                   | data_download (98.2 MB)
t=  26.3s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  26.4s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  26.5s | network    | registry → rpi3_15   | unknown                   | docker_pull (19.1 MB)
t=  26.6s | network    | registry → rpi3_17   | unknown                   | docker_pull (66.8 MB)
t=  26.7s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  26.8s | network    | rockpi_4 → nuc_2     | unknown                   | data_download (55.3 MB)
t=  26.9s | network    | rockpi_4 → rpi3_17   | unknown                   | data_download (98.2 MB)
t=  27.0s | replica    | rockpi_8             | python-pi                 | setup replica of python-pi
t=  27.0s | network    | rockpi_4 → nuc_2     | unknown                   | data_download (55.3 MB)
t=  27.1s | network    | rockpi_4 → nuc_2     | unknown                   | data_download (55.3 MB)
t=  27.2s | network    | registry → rpi3_16   | unknown                   | docker_pull (19.1 MB)
t=  27.3s | network    | registry → rockpi_2  | unknown                   | docker_pull (59.1 MB)
t=  27.4s | network    | registry → rpi3_33   | unknown                   | docker_pull (66.8 MB)
t=  27.5s | network    | rockpi_4 → nuc_2     | unknown                   | data_download (55.3 MB)
t=  27.6s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  27.7s | network    | rockpi_4 → rpi3_33   | unknown                   | data_download (98.2 MB)
t=  27.8s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  27.9s | network    | registry → rpi3_17   | unknown                   | docker_pull (19.1 MB)
t=  28.0s | replica    | rockpi_8             | python-pi                 | finish replica of python-pi
t=  28.0s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  28.1s | network    | registry → rockpi_2  | unknown                   | docker_pull (38.1 MB)
t=  28.2s | network    | registry → rockpi_3  | unknown                   | docker_pull (59.1 MB)
t=  28.3s | network    | registry → rpi3_34   | unknown                   | docker_pull (66.8 MB)
t=  28.4s | network    | rockpi_4 → rockpi_2  | unknown                   | data_download (45.8 MB)
t=  28.5s | network    | rockpi_4 → rpi3_34   | unknown                   | data_download (98.2 MB)
t=  28.6s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  28.7s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  28.8s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  28.9s | network    | registry → rpi3_33   | unknown                   | docker_pull (19.1 MB)
t=  29.0s | replica    | rpi3_3               | fio                       | deploy replica of fio
t=  29.0s | network    | registry → rpi3_35   | unknown                   | docker_pull (66.8 MB)
t=  29.1s | network    | rockpi_4 → rpi3_35   | unknown                   | data_download (98.2 MB)
t=  29.2s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  29.3s | network    | rockpi_4 → nuc_2     | unknown                   | data_download (55.3 MB)
t=  29.4s | network    | registry → rpi3_34   | unknown                   | docker_pull (19.1 MB)
t=  29.5s | network    | rockpi_4 → nuc_1     | unknown                   | data_download (55.3 MB)
t=  29.6s | network    | rockpi_4 → nuc_2     | unknown                   | data_download (55.3 MB)
t=  29.7s | network    | registry → rockpi_32 | unknown                   | docker_pull (59.1 MB)
t=  29.8s | network    | registry → rpi3_18   | unknown                   | docker_pull (66.8 MB)
t=  29.9s | network    | rockpi_4 → rpi3_18   | unknown                   | data_download (98.2 MB)
t=  30.0s | replica    | rpi3_3               | fio                       | startup replica of fio
t=  30.0s | network    | rockpi_4 → nuc_2     | unknown                   | data_download (55.3 MB)
t=  30.1s | network    | rockpi_4 → nuc_0     | unknown                   | data_download (55.3 MB)
t=  30.2s | network    | registry → rpi3_35   | unknown                   | docker_pull (19.1 MB)
t=  30.3s | network    | nx_13 → rockpi_4     | unknown                   | data_upload (98.2 MB)
