FAAS SIMULATION SUMMARY
======================

Report generated: 2025-07-31 10:46:34

Topology Overview:
  Number of nodes: 240
  Number of functions: 9
  Number of images: 2

Node Distribution:
  registry → nuc_73: 83.92 MB in 0.73 s
  registry → nuc_74: 83.92 MB in 0.73 s
  registry → nuc_75: 83.92 MB in 0.73 s
  registry → nuc_76: 106.81 MB in 0.93 s
  registry → nuc_77: 106.81 MB in 0.93 s
  registry → nuc_78: 83.92 MB in 0.73 s
  registry → nuc_79: 83.92 MB in 0.73 s
  registry → nuc_8: 83.92 MB in 0.73 s
  registry → nuc_80: 106.81 MB in 0.93 s
  registry → nuc_81: 83.92 MB in 0.73 s
  registry → nuc_82: 83.92 MB in 0.73 s
  registry → nuc_83: 83.92 MB in 0.73 s
  registry → nuc_84: 106.81 MB in 0.93 s
  registry → nuc_85: 83.92 MB in 0.73 s
  registry → nuc_86: 106.81 MB in 0.93 s
  registry → nuc_87: 83.92 MB in 0.73 s
  registry → nuc_88: 106.81 MB in 0.93 s
  registry → nuc_89: 83.92 MB in 0.73 s
  registry → nuc_9: 106.81 MB in 0.93 s
  registry → nuc_90: 83.92 MB in 0.73 s
  registry → nuc_91: 83.92 MB in 0.73 s
  registry → nuc_92: 106.81 MB in 0.93 s
  registry → nuc_93: 106.81 MB in 0.93 s
  registry → nuc_94: 83.92 MB in 0.73 s
  registry → nuc_95: 83.92 MB in 0.73 s
  registry → nuc_96: 83.92 MB in 0.73 s
  registry → nuc_97: 83.92 MB in 0.73 s
  registry → nuc_98: 83.92 MB in 0.73 s
  registry → nx_0: 59.13 MB in 0.51 s
  registry → nx_1: 59.13 MB in 0.51 s
  registry → rockpi_0: 81.06 MB in 0.71 s
  registry → rockpi_1: 81.06 MB in 0.71 s
  registry → rockpi_10: 81.06 MB in 0.71 s
  registry → rockpi_11: 81.06 MB in 0.71 s
  registry → rockpi_12: 81.06 MB in 0.71 s
  registry → rockpi_2: 81.06 MB in 0.71 s
  registry → rockpi_3: 59.13 MB in 0.51 s
  registry → rockpi_4: 81.06 MB in 0.71 s
  registry → rockpi_5: 81.06 MB in 0.71 s
  registry → rockpi_6: 81.06 MB in 0.71 s
  registry → rockpi_7: 81.06 MB in 0.71 s
  registry → rockpi_8: 81.06 MB in 0.71 s
  registry → rockpi_9: 81.06 MB in 0.71 s
  registry → rpi3_0: 52.45 MB in 0.46 s
  registry → rpi3_1: 52.45 MB in 0.46 s
  registry → rpi3_10: 71.53 MB in 0.62 s
  registry → rpi3_11: 52.45 MB in 0.46 s
  registry → rpi3_12: 52.45 MB in 0.46 s
  registry → rpi3_13: 52.45 MB in 0.46 s
  registry → rpi3_14: 71.53 MB in 0.62 s
  registry → rpi3_15: 71.53 MB in 0.62 s
  registry → rpi3_16: 71.53 MB in 0.62 s
  registry → rpi3_17: 71.53 MB in 0.62 s
  registry → rpi3_18: 71.53 MB in 0.62 s
  registry → rpi3_19: 71.53 MB in 0.63 s
  registry → rpi3_2: 52.45 MB in 0.46 s
  registry → rpi3_20: 71.53 MB in 0.63 s
  registry → rpi3_21: 71.53 MB in 0.63 s
  registry → rpi3_22: 71.53 MB in 0.62 s
  registry → rpi3_23: 52.45 MB in 0.46 s
  registry → rpi3_24: 71.53 MB in 0.62 s
  registry → rpi3_25: 71.53 MB in 0.62 s
  registry → rpi3_26: 71.53 MB in 0.62 s
  registry → rpi3_27: 52.45 MB in 0.46 s
  registry → rpi3_28: 52.45 MB in 0.46 s
  registry → rpi3_29: 71.53 MB in 0.62 s
  registry → rpi3_3: 71.53 MB in 0.62 s
  registry → rpi3_4: 71.53 MB in 0.62 s
  registry → rpi3_5: 52.45 MB in 0.46 s
  registry → rpi3_6: 52.45 MB in 0.46 s
  registry → rpi3_7: 71.53 MB in 0.62 s
  registry → rpi3_8: 71.53 MB in 0.62 s
  registry → rpi3_9: 71.53 MB in 0.62 s
  registry → rpi4_0: 71.53 MB in 0.62 s
  registry → rpi4_1: 71.53 MB in 0.62 s
  registry → rpi4_10: 71.53 MB in 0.62 s
  registry → rpi4_11: 71.53 MB in 0.62 s
  registry → rpi4_12: 71.53 MB in 0.95 s
  registry → rpi4_13: 71.53 MB in 0.95 s
  registry → rpi4_14: 71.53 MB in 0.62 s
  registry → rpi4_15: 71.53 MB in 0.62 s
  registry → rpi4_16: 71.53 MB in 0.62 s
  registry → rpi4_17: 71.53 MB in 0.62 s
  registry → rpi4_18: 71.53 MB in 0.62 s
  registry → rpi4_19: 71.53 MB in 0.62 s
  registry → rpi4_2: 71.53 MB in 0.62 s
  registry → rpi4_20: 71.53 MB in 0.62 s
  registry → rpi4_21: 71.53 MB in 0.62 s
  registry → rpi4_22: 71.53 MB in 0.62 s
  registry → rpi4_23: 71.53 MB in 0.63 s
  registry → rpi4_24: 71.53 MB in 0.62 s
  registry → rpi4_25: 71.53 MB in 0.62 s
  registry → rpi4_26: 71.53 MB in 0.95 s
  registry → rpi4_27: 71.53 MB in 0.95 s
  registry → rpi4_28: 71.53 MB in 0.95 s
  registry → rpi4_29: 71.53 MB in 0.95 s
  registry → rpi4_3: 71.53 MB in 0.62 s
  registry → rpi4_30: 71.53 MB in 0.62 s
  registry → rpi4_31: 71.53 MB in 0.62 s
  registry → rpi4_32: 71.53 MB in 0.63 s
  registry → rpi4_33: 71.53 MB in 0.63 s
  registry → rpi4_34: 71.53 MB in 0.62 s
  registry → rpi4_35: 71.53 MB in 0.62 s
  registry → rpi4_36: 71.53 MB in 0.62 s
  registry → rpi4_37: 71.53 MB in 0.62 s
  registry → rpi4_38: 71.53 MB in 0.62 s
  registry → rpi4_39: 71.53 MB in 0.62 s
  registry → rpi4_4: 71.53 MB in 0.62 s
  registry → rpi4_40: 71.53 MB in 0.62 s
  registry → rpi4_41: 71.53 MB in 0.62 s
  registry → rpi4_5: 71.53 MB in 0.62 s
  registry → rpi4_6: 71.53 MB in 0.62 s
  registry → rpi4_7: 71.53 MB in 0.63 s
  registry → rpi4_8: 71.53 MB in 0.62 s
  registry → rpi4_9: 71.53 MB in 0.62 s
  registry → tx2_0: 59.13 MB in 0.51 s
  registry → tx2_1: 59.13 MB in 0.51 s
  registry → tx2_2: 59.13 MB in 0.51 s
  registry → tx2_3: 59.13 MB in 0.51 s
  registry → tx2_4: 59.13 MB in 0.51 s
  registry → tx2_5: 59.13 MB in 0.51 s
  registry → tx2_6: 59.13 MB in 0.51 s
  registry → xeoncpu_0: 83.92 MB in 3.61 s
  registry → xeoncpu_1: 106.81 MB in 4.02 s
  registry → xeoncpu_10: 106.81 MB in 5.55 s
  registry → xeoncpu_11: 106.81 MB in 5.54 s
  registry → xeoncpu_12: 83.92 MB in 4.41 s
  registry → xeoncpu_13: 83.92 MB in 4.41 s
  registry → xeoncpu_14: 83.92 MB in 4.62 s
  registry → xeoncpu_15: 83.92 MB in 4.40 s
  registry → xeoncpu_16: 106.81 MB in 4.91 s
  registry → xeoncpu_17: 106.81 MB in 5.02 s
  registry → xeoncpu_2: 106.81 MB in 4.02 s
  registry → xeoncpu_3: 83.92 MB in 3.62 s
  registry → xeoncpu_4: 83.92 MB in 3.62 s
  registry → xeoncpu_5: 83.92 MB in 5.08 s
  registry → xeoncpu_6: 83.92 MB in 5.11 s
  registry → xeoncpu_7: 106.81 MB in 5.53 s
  registry → xeoncpu_8: 106.81 MB in 5.51 s
  registry → xeoncpu_9: 83.92 MB in 5.15 s
  registry → xeongpu_0: 83.92 MB in 4.56 s
  registry → xeongpu_1: 106.81 MB in 1.85 s
  registry → xeongpu_2: 106.81 MB in 1.85 s
