FAAS SIMULATION SUMMARY
======================

Report generated: 2025-08-19 05:46:25

Topology Overview:
  Number of nodes: 210
  Number of functions: 6
  Number of images: 8

Node Distribution:
  nuc_5 → rpi3_19: 98.23 MB in 1.28 s
  nuc_5 → rpi3_2: 98.23 MB in 18.84 s
  nuc_5 → rpi3_20: 98.23 MB in 4.48 s
  nuc_5 → rpi3_21: 196.46 MB in 18.58 s
  nuc_5 → rpi3_22: 196.46 MB in 20.08 s
  nuc_5 → rpi3_23: 98.23 MB in 0.96 s
  nuc_5 → rpi3_25: 98.23 MB in 14.65 s
  nuc_5 → rpi3_26: 98.23 MB in 15.48 s
  nuc_5 → rpi3_34: 98.23 MB in 45.08 s
  nuc_5 → rpi3_35: 98.23 MB in 41.52 s
  nuc_5 → rpi3_36: 98.23 MB in 30.85 s
  nuc_5 → rpi3_37: 98.23 MB in 28.51 s
  nuc_5 → rpi3_38: 98.23 MB in 25.89 s
  nuc_5 → rpi3_41: 45.78 MB in 1.28 s
  nuc_5 → rpi3_42: 98.23 MB in 5.43 s
  nuc_5 → rpi3_43: 98.23 MB in 4.16 s
  nuc_5 → rpi3_44: 98.23 MB in 5.78 s
  nuc_5 → rpi3_45: 98.23 MB in 54.42 s
  nuc_5 → rpi3_46: 98.23 MB in 52.70 s
  nuc_5 → rpi3_47: 98.23 MB in 51.18 s
  nuc_5 → rpi3_49: 45.78 MB in 0.40 s
  nuc_5 → rpi3_51: 98.23 MB in 26.41 s
  nuc_5 → rpi3_52: 98.23 MB in 27.46 s
  nuc_5 → rpi3_53: 98.23 MB in 29.73 s
  nuc_5 → rpi3_54: 98.23 MB in 12.89 s
  nuc_5 → rpi3_55: 98.23 MB in 17.96 s
  nuc_5 → rpi3_56: 98.23 MB in 19.68 s
  nuc_5 → rpi3_57: 98.23 MB in 9.54 s
  nuc_5 → rpi3_58: 98.23 MB in 9.75 s
  nuc_5 → rpi3_59: 98.23 MB in 8.79 s
  nuc_5 → rpi3_60: 98.23 MB in 33.11 s
  nuc_5 → rpi3_61: 98.23 MB in 37.39 s
  nuc_5 → rpi3_62: 98.23 MB in 41.30 s
  nuc_5 → rpi3_66: 98.23 MB in 38.85 s
  nuc_5 → rpi3_67: 98.23 MB in 36.27 s
  nuc_5 → rpi3_68: 98.23 MB in 33.67 s
  nuc_5 → rpi3_70: 98.23 MB in 54.39 s
  nuc_5 → rpi3_71: 98.23 MB in 54.64 s
  nuc_5 → rpi3_9: 98.23 MB in 23.42 s
  nx_0 → nuc_5: 1178.74 MB in 233.77 s
  nx_1 → nuc_5: 785.83 MB in 255.34 s
  nx_10 → nuc_5: 785.83 MB in 255.22 s
  nx_11 → nuc_5: 785.83 MB in 223.68 s
  nx_12 → nuc_5: 1178.74 MB in 318.79 s
  nx_15 → nuc_5: 785.83 MB in 262.26 s
  nx_16 → nuc_5: 785.83 MB in 245.37 s
  nx_18 → nuc_5: 1178.74 MB in 349.38 s
  nx_19 → nuc_5: 785.83 MB in 235.18 s
  nx_20 → nuc_5: 392.91 MB in 204.82 s
  nx_21 → nuc_5: 785.83 MB in 237.46 s
  nx_22 → nuc_5: 1178.74 MB in 170.89 s
  nx_23 → nuc_5: 491.14 MB in 107.35 s
  nx_26 → nuc_5: 785.83 MB in 206.17 s
  nx_27 → nuc_5: 785.83 MB in 232.23 s
  nx_28 → nuc_5: 785.83 MB in 138.34 s
  nx_29 → nuc_5: 1178.74 MB in 148.65 s
  nx_3 → nuc_5: 785.83 MB in 258.73 s
  nx_7 → nuc_5: 785.83 MB in 145.22 s
  registry → coral_0: 38.15 MB in 0.33 s
  registry → coral_1: 59.13 MB in 0.51 s
  registry → coral_10: 80.11 MB in 0.69 s
  registry → coral_11: 59.13 MB in 0.51 s
  registry → coral_12: 80.11 MB in 0.69 s
  registry → coral_2: 80.11 MB in 0.70 s
  registry → coral_3: 80.11 MB in 0.70 s
  registry → coral_4: 80.11 MB in 0.70 s
  registry → coral_5: 80.11 MB in 0.70 s
  registry → coral_6: 80.11 MB in 0.70 s
  registry → coral_7: 80.11 MB in 0.70 s
  registry → coral_8: 80.11 MB in 0.70 s
  registry → coral_9: 80.11 MB in 0.70 s
  registry → nano_0: 95.37 MB in 0.83 s
  registry → nano_1: 95.37 MB in 0.83 s
  registry → nano_10: 95.37 MB in 0.83 s
  registry → nano_11: 190.73 MB in 1.65 s
  registry → nano_12: 95.37 MB in 0.83 s
  registry → nano_13: 95.37 MB in 0.83 s
  registry → nano_14: 95.37 MB in 0.83 s
  registry → nano_15: 95.37 MB in 0.83 s
  registry → nano_16: 95.37 MB in 0.83 s
  registry → nano_17: 95.37 MB in 0.83 s
  registry → nano_18: 95.37 MB in 0.83 s
  registry → nano_19: 95.37 MB in 0.83 s
  registry → nano_2: 95.37 MB in 0.83 s
  registry → nano_20: 95.37 MB in 0.83 s
  registry → nano_21: 95.37 MB in 0.83 s
  registry → nano_22: 190.73 MB in 1.65 s
  registry → nano_23: 95.37 MB in 0.83 s
  registry → nano_24: 95.37 MB in 0.83 s
  registry → nano_25: 95.37 MB in 0.83 s
  registry → nano_26: 95.37 MB in 0.83 s
  registry → nano_27: 95.37 MB in 0.83 s
  registry → nano_28: 95.37 MB in 0.83 s
  registry → nano_29: 95.37 MB in 0.83 s
  registry → nano_3: 95.37 MB in 0.83 s
  registry → nano_30: 95.37 MB in 0.83 s
  registry → nano_31: 95.37 MB in 0.83 s
  registry → nano_32: 95.37 MB in 0.83 s
  registry → nano_33: 95.37 MB in 0.83 s
  registry → nano_34: 95.37 MB in 0.83 s
  registry → nano_35: 95.37 MB in 0.83 s
  registry → nano_36: 95.37 MB in 0.83 s
  registry → nano_37: 95.37 MB in 0.83 s
  registry → nano_38: 95.37 MB in 0.83 s
  registry → nano_39: 95.37 MB in 0.83 s
  registry → nano_4: 95.37 MB in 0.83 s
  registry → nano_40: 95.37 MB in 0.83 s
  registry → nano_41: 190.73 MB in 1.65 s
  registry → nano_42: 95.37 MB in 0.83 s
  registry → nano_5: 95.37 MB in 0.83 s
  registry → nano_6: 95.37 MB in 0.83 s
  registry → nano_7: 95.37 MB in 0.83 s
  registry → nano_8: 95.37 MB in 0.83 s
  registry → nano_9: 95.37 MB in 0.83 s
  registry → nuc_0: 190.73 MB in 1.65 s
  registry → nuc_1: 190.73 MB in 1.65 s
  registry → nuc_2: 190.73 MB in 1.65 s
  registry → nuc_3: 190.73 MB in 1.65 s
  registry → nuc_4: 190.73 MB in 1.65 s
  registry → nuc_5: 190.73 MB in 8.25 s
  registry → nx_0: 154.50 MB in 1.34 s
  registry → nx_1: 154.50 MB in 1.34 s
  registry → nx_10: 133.51 MB in 1.16 s
  registry → nx_11: 192.64 MB in 1.70 s
  registry → nx_12: 154.50 MB in 1.34 s
  registry → nx_13: 154.50 MB in 1.34 s
  registry → nx_14: 133.51 MB in 1.16 s
  registry → nx_15: 154.50 MB in 1.34 s
  registry → nx_16: 192.64 MB in 1.67 s
  registry → nx_17: 133.51 MB in 1.16 s
  registry → nx_18: 133.51 MB in 1.16 s
  registry → nx_19: 154.50 MB in 1.34 s
  registry → nx_2: 133.51 MB in 1.16 s
  registry → nx_20: 190.73 MB in 1.65 s
  registry → nx_21: 154.50 MB in 1.37 s
  registry → nx_22: 154.50 MB in 1.34 s
  registry → nx_23: 190.73 MB in 1.65 s
  registry → nx_24: 133.51 MB in 1.16 s
  registry → nx_25: 154.50 MB in 1.34 s
