FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-28 14:20:27

Total deployment events: 2488
Number of node-function combinations: 621

Event Type Summary:
  Deployment events: 8
  Replica events: 1735
  Network events: 745

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=  13.9s | network    | nuc_0 → nano_11      | unknown                   | data_download (98.2 MB)
t=  14.0s | replica    | nano_1               | resnet50-inference-downtown | setup replica of resnet50-inference-downtown
t=  14.0s | network    | nuc_0 → nano_13      | unknown                   | data_download (98.2 MB)
t=  14.1s | network    | nuc_0 → nano_4       | unknown                   | data_download (98.2 MB)
t=  14.2s | network    | nuc_0 → nano_6       | unknown                   | data_download (98.2 MB)
t=  14.3s | network    | nuc_0 → nano_5       | unknown                   | data_download (55.3 MB)
t=  14.4s | network    | nuc_0 → nx_1         | unknown                   | data_download (98.2 MB)
t=  14.5s | network    | registry → rpi4_13   | unknown                   | docker_pull (66.8 MB)
t=  14.6s | network    | registry → rpi3_0    | unknown                   | docker_pull (66.8 MB)
t=  14.7s | network    | registry → rpi3_1    | unknown                   | docker_pull (66.8 MB)
t=  14.8s | network    | registry → rpi3_2    | unknown                   | docker_pull (66.8 MB)
t=  14.9s | network    | registry → rpi3_12   | unknown                   | docker_pull (66.8 MB)
t=  15.0s | replica    | nano_12              | resnet50-inference-suburb | startup replica of resnet50-inference-suburb
t=  15.0s | network    | registry → rpi3_13   | unknown                   | docker_pull (66.8 MB)
t=  15.1s | network    | nuc_0 → nano_5       | unknown                   | data_download (55.3 MB)
t=  15.2s | network    | registry → nuc_44    | unknown                   | docker_pull (190.7 MB)
t=  15.3s | network    | registry → nuc_46    | unknown                   | docker_pull (190.7 MB)
t=  15.4s | network    | nuc_0 → nano_1       | unknown                   | data_download (55.3 MB)
t=  15.5s | network    | nuc_0 → nano_1       | unknown                   | data_download (55.3 MB)
t=  15.6s | network    | nuc_0 → nano_1       | unknown                   | data_download (55.3 MB)
t=  15.7s | network    | registry → rpi3_14   | unknown                   | docker_pull (66.8 MB)
t=  15.8s | network    | registry → rpi4_14   | unknown                   | docker_pull (66.8 MB)
t=  15.9s | network    | registry → rpi4_0    | unknown                   | docker_pull (66.8 MB)
t=  16.0s | replica    | nano_12              | resnet50-inference-suburb | setup replica of resnet50-inference-suburb
t=  16.0s | network    | registry → rpi4_1    | unknown                   | docker_pull (66.8 MB)
t=  16.1s | network    | registry → rpi3_3    | unknown                   | docker_pull (66.8 MB)
t=  16.2s | network    | registry → rpi3_4    | unknown                   | docker_pull (66.8 MB)
t=  16.3s | network    | registry → nuc_1     | unknown                   | docker_pull (190.7 MB)
t=  16.4s | network    | registry → nuc_7     | unknown                   | docker_pull (190.7 MB)
t=  16.5s | network    | nuc_0 → nano_12      | unknown                   | data_download (55.3 MB)
t=  16.6s | network    | nuc_0 → nano_1       | unknown                   | data_download (55.3 MB)
t=  16.7s | network    | registry → rpi3_5    | unknown                   | docker_pull (66.8 MB)
t=  16.8s | network    | registry → rpi3_15   | unknown                   | docker_pull (66.8 MB)
t=  16.9s | network    | registry → rpi3_16   | unknown                   | docker_pull (66.8 MB)
t=  17.0s | replica    | tx2_0                | resnet50-inference-industrial | startup replica of resnet50-inference-industrial
t=  17.0s | network    | registry → rpi3_17   | unknown                   | docker_pull (66.8 MB)
t=  17.1s | network    | registry → rpi4_6    | unknown                   | docker_pull (66.8 MB)
t=  17.2s | network    | nuc_0 → nano_12      | unknown                   | data_download (55.3 MB)
t=  17.3s | network    | registry → coral_1   | unknown                   | docker_pull (80.1 MB)
t=  17.4s | network    | registry → nuc_10    | unknown                   | docker_pull (190.7 MB)
t=  17.5s | network    | registry → nuc_22    | unknown                   | docker_pull (190.7 MB)
t=  17.6s | network    | nuc_0 → nano_12      | unknown                   | data_download (55.3 MB)
t=  17.7s | network    | nuc_0 → nano_12      | unknown                   | data_download (55.3 MB)
t=  17.8s | network    | nuc_0 → nano_5       | unknown                   | data_download (55.3 MB)
t=  17.9s | network    | registry → rpi4_7    | unknown                   | docker_pull (66.8 MB)
t=  18.0s | replica    | tx2_0                | resnet50-inference-industrial | setup replica of resnet50-inference-industrial
t=  18.0s | network    | registry → rpi4_4    | unknown                   | docker_pull (66.8 MB)
t=  18.1s | network    | registry → rpi4_5    | unknown                   | docker_pull (66.8 MB)
t=  18.2s | network    | registry → coral_0   | unknown                   | docker_pull (80.1 MB)
t=  18.3s | network    | registry → nuc_25    | unknown                   | docker_pull (190.7 MB)
t=  18.4s | network    | registry → nuc_26    | unknown                   | docker_pull (190.7 MB)
t=  18.5s | network    | nuc_0 → nano_5       | unknown                   | data_download (55.3 MB)
t=  18.6s | network    | nuc_0 → nano_6       | unknown                   | data_download (55.3 MB)
t=  18.7s | network    | nuc_0 → nano_9       | unknown                   | data_download (98.2 MB)
t=  18.8s | network    | nuc_0 → nano_6       | unknown                   | data_download (55.3 MB)
t=  18.9s | network    | nuc_0 → nano_5       | unknown                   | data_download (55.3 MB)
t=  19.0s | replica    | tx2_1                | resnet50-inference-residential | startup replica of resnet50-inference-residential
t=  19.0s | network    | nuc_0 → nano_5       | unknown                   | data_download (98.2 MB)
t=  19.1s | network    | nuc_0 → nano_8       | unknown                   | data_download (98.2 MB)
t=  19.2s | network    | nuc_0 → nano_7       | unknown                   | data_download (98.2 MB)
t=  19.3s | network    | registry → nuc_35    | unknown                   | docker_pull (190.7 MB)
t=  19.4s | network    | registry → nuc_37    | unknown                   | docker_pull (190.7 MB)
t=  19.5s | network    | nuc_0 → nano_5       | unknown                   | data_download (55.3 MB)
t=  19.6s | network    | nuc_0 → nano_6       | unknown                   | data_download (55.3 MB)
t=  19.7s | network    | registry → rockpi_0  | unknown                   | docker_pull (80.1 MB)
t=  19.8s | network    | registry → nuc_42    | unknown                   | docker_pull (190.7 MB)
t=  19.9s | network    | registry → nuc_45    | unknown                   | docker_pull (190.7 MB)
t=  20.0s | replica    | tx2_1                | resnet50-inference-residential | setup replica of resnet50-inference-residential
t=  20.0s | network    | nuc_0 → nano_6       | unknown                   | data_download (55.3 MB)
t=  20.1s | network    | nuc_0 → nx_2         | unknown                   | data_download (55.3 MB)
t=  20.2s | network    | nuc_0 → nx_0         | unknown                   | data_download (55.3 MB)
t=  20.3s | network    | nuc_0 → nx_2         | unknown                   | data_download (55.3 MB)
t=  20.4s | network    | registry → nuc_2     | unknown                   | docker_pull (190.7 MB)
t=  20.5s | network    | registry → nuc_5     | unknown                   | docker_pull (190.7 MB)
t=  20.6s | network    | nuc_0 → xeongpu_0    | unknown                   | data_download (98.2 MB)
t=  20.7s | network    | nuc_0 → xeongpu_1    | unknown                   | data_download (98.2 MB)
t=  20.8s | network    | nuc_0 → nx_0         | unknown                   | data_download (55.3 MB)
t=  20.9s | network    | nuc_0 → nx_0         | unknown                   | data_download (55.3 MB)
t=  21.0s | replica    | nx_2                 | resnet50-training         | startup replica of resnet50-training
t=  21.0s | network    | registry → nuc_6     | unknown                   | docker_pull (190.7 MB)
t=  21.1s | network    | registry → nuc_11    | unknown                   | docker_pull (190.7 MB)
t=  21.2s | network    | nuc_0 → nx_2         | unknown                   | data_download (55.3 MB)
t=  21.3s | network    | nuc_0 → nx_0         | unknown                   | data_download (55.3 MB)
t=  21.4s | network    | nuc_0 → tx2_1        | unknown                   | data_download (98.2 MB)
t=  21.5s | network    | nuc_0 → nx_2         | unknown                   | data_download (98.2 MB)
t=  21.6s | network    | nuc_0 → nano_2       | unknown                   | data_download (98.2 MB)
t=  21.7s | network    | nuc_0 → tx2_0        | unknown                   | data_download (98.2 MB)
t=  21.8s | network    | nuc_0 → nx_2         | unknown                   | data_download (55.3 MB)
t=  21.9s | network    | nuc_0 → tx2_2        | unknown                   | data_download (98.2 MB)
t=  22.0s | replica    | nx_2                 | resnet50-training         | setup replica of resnet50-training
t=  22.0s | network    | nuc_0 → nano_12      | unknown                   | data_download (98.2 MB)
t=  22.1s | network    | registry → nuc_19    | unknown                   | docker_pull (190.7 MB)
t=  22.2s | network    | registry → nuc_21    | unknown                   | docker_pull (190.7 MB)
t=  22.3s | network    | nuc_0 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  22.4s | network    | nuc_0 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  22.5s | network    | nuc_0 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  22.6s | network    | nuc_0 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  22.7s | network    | nuc_0 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  22.8s | network    | nuc_0 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  22.9s | network    | nuc_0 → tx2_0        | unknown                   | data_download (55.3 MB)
t=  23.0s | replica    | nx_2                 | resnet50-training         | finish replica of resnet50-training
t=  23.0s | network    | registry → nuc_29    | unknown                   | docker_pull (190.7 MB)
t=  23.1s | network    | registry → nuc_33    | unknown                   | docker_pull (190.7 MB)
t=  23.2s | network    | nuc_0 → tx2_1        | unknown                   | data_download (55.3 MB)
t=  23.3s | network    | registry → nuc_43    | unknown                   | docker_pull (190.7 MB)
t=  23.4s | network    | registry → nuc_3     | unknown                   | docker_pull (190.7 MB)
t=  23.5s | network    | nuc_0 → nano_11      | unknown                   | data_download (55.3 MB)
t=  23.6s | network    | nuc_0 → nano_3       | unknown                   | data_download (55.3 MB)
t=  23.7s | network    | registry → nuc_12    | unknown                   | docker_pull (190.7 MB)
t=  23.8s | network    | registry → nuc_14    | unknown                   | docker_pull (190.7 MB)
t=  23.9s | network    | nuc_0 → nano_11      | unknown                   | data_download (55.3 MB)
t=  24.0s | replica    | tx2_2                | resnet50-inference-commercial | startup replica of resnet50-inference-commercial
t=  24.0s | network    | nuc_0 → nano_11      | unknown                   | data_download (98.2 MB)
t=  24.1s | network    | nuc_0 → nano_3       | unknown                   | data_download (98.2 MB)
t=  24.2s | network    | nuc_0 → nano_4       | unknown                   | data_download (98.2 MB)
t=  24.3s | network    | nuc_0 → nx_0         | unknown                   | data_download (98.2 MB)
t=  24.4s | network    | nuc_0 → nano_13      | unknown                   | data_download (98.2 MB)
t=  24.5s | network    | nuc_0 → nano_6       | unknown                   | data_download (98.2 MB)
t=  24.6s | network    | registry → xeoncpu_0 | unknown                   | docker_pull (190.7 MB)
t=  24.7s | network    | registry → xeoncpu_1 | unknown                   | docker_pull (190.7 MB)
t=  24.8s | network    | registry → xeoncpu_2 | unknown                   | docker_pull (190.7 MB)
t=  24.9s | network    | registry → xeoncpu_3 | unknown                   | docker_pull (190.7 MB)
t=  25.0s | replica    | tx2_2                | resnet50-inference-commercial | setup replica of resnet50-inference-commercial
t=  25.0s | network    | nuc_0 → nano_3       | unknown                   | data_download (55.3 MB)
t=  25.1s | network    | nuc_0 → nano_11      | unknown                   | data_download (55.3 MB)
t=  25.2s | network    | nuc_0 → nano_3       | unknown                   | data_download (55.3 MB)
t=  25.3s | network    | registry → nuc_18    | unknown                   | docker_pull (190.7 MB)
t=  25.4s | network    | registry → nuc_24    | unknown                   | docker_pull (190.7 MB)
t=  25.5s | network    | nuc_0 → nano_11      | unknown                   | data_download (55.3 MB)
t=  25.6s | network    | nuc_0 → nano_3       | unknown                   | data_download (55.3 MB)
t=  25.7s | network    | nuc_0 → nano_8       | unknown                   | data_download (55.3 MB)
t=  25.8s | network    | nuc_0 → nano_9       | unknown                   | data_download (55.3 MB)
t=  25.9s | network    | registry → nuc_28    | unknown                   | docker_pull (190.7 MB)
t=  26.0s | replica    | nx_2                 | resnet50-inference        | deploy replica of resnet50-inference
t=  26.0s | network    | registry → nuc_34    | unknown                   | docker_pull (190.7 MB)
t=  26.1s | network    | registry → xeoncpu_4 | unknown                   | docker_pull (190.7 MB)
t=  26.2s | network    | registry → xeoncpu_5 | unknown                   | docker_pull (190.7 MB)
t=  26.3s | network    | registry → xeoncpu_6 | unknown                   | docker_pull (190.7 MB)
t=  26.4s | network    | registry → xeoncpu_7 | unknown                   | docker_pull (190.7 MB)
t=  26.5s | network    | registry → xeoncpu_8 | unknown                   | docker_pull (190.7 MB)
t=  26.6s | network    | registry → xeoncpu_9 | unknown                   | docker_pull (190.7 MB)
t=  26.7s | network    | nuc_0 → nano_8       | unknown                   | data_download (55.3 MB)
t=  26.8s | network    | nuc_0 → nano_8       | unknown                   | data_download (55.3 MB)
t=  26.9s | network    | nuc_0 → nano_9       | unknown                   | data_download (55.3 MB)
t=  27.0s | replica    | nano_2               | resnet50-inference-downtown | deploy replica of resnet50-inference-downtown
t=  27.0s | network    | registry → nuc_36    | unknown                   | docker_pull (190.7 MB)
t=  27.1s | network    | registry → nuc_38    | unknown                   | docker_pull (190.7 MB)
t=  27.2s | network    | nuc_0 → nano_9       | unknown                   | data_download (55.3 MB)
t=  27.3s | network    | nuc_0 → nano_8       | unknown                   | data_download (55.3 MB)
t=  27.4s | network    | registry → nuc_41    | unknown                   | docker_pull (190.7 MB)
t=  27.5s | network    | registry → nuc_47    | unknown                   | docker_pull (190.7 MB)
t=  27.6s | network    | nuc_0 → nano_9       | unknown                   | data_download (55.3 MB)
t=  27.7s | network    | nuc_0 → nuc_8        | unknown                   | data_download (55.3 MB)
t=  27.8s | network    | nuc_0 → xeongpu_0    | unknown                   | data_download (98.2 MB)
t=  27.9s | network    | nuc_0 → nano_0       | unknown                   | data_download (98.2 MB)
t=  28.0s | replica    | nano_14              | resnet50-inference-suburb | deploy replica of resnet50-inference-suburb
t=  28.0s | network    | nuc_0 → nano_7       | unknown                   | data_download (98.2 MB)
t=  28.1s | network    | nuc_0 → nano_8       | unknown                   | data_download (98.2 MB)
t=  28.2s | network    | nuc_0 → xeongpu_1    | unknown                   | data_download (98.2 MB)
t=  28.3s | network    | nuc_0 → nano_9       | unknown                   | data_download (98.2 MB)
t=  28.4s | network    | registry → nuc_4     | unknown                   | docker_pull (190.7 MB)
t=  28.5s | network    | registry → nuc_13    | unknown                   | docker_pull (190.7 MB)
t=  28.6s | network    | nuc_0 → nuc_8        | unknown                   | data_download (55.3 MB)
t=  28.7s | network    | nuc_0 → nuc_8        | unknown                   | data_download (55.3 MB)
t=  28.8s | network    | registry → nuc_15    | unknown                   | docker_pull (190.7 MB)
t=  28.9s | network    | registry → nuc_16    | unknown                   | docker_pull (190.7 MB)
t=  29.0s | replica    | nx_0                 | resnet50-inference-industrial | deploy replica of resnet50-inference-industrial
t=  29.0s | network    | nuc_0 → nuc_20       | unknown                   | data_download (55.3 MB)
t=  29.1s | network    | nuc_0 → nuc_9        | unknown                   | data_download (55.3 MB)
t=  29.2s | network    | nuc_0 → nuc_20       | unknown                   | data_download (55.3 MB)
t=  29.3s | network    | registry → nuc_17    | unknown                   | docker_pull (190.7 MB)
t=  29.4s | network    | registry → nuc_23    | unknown                   | docker_pull (190.7 MB)
t=  29.5s | network    | registry → nuc_27    | unknown                   | docker_pull (190.7 MB)
t=  29.6s | network    | registry → nuc_31    | unknown                   | docker_pull (190.7 MB)
t=  29.7s | network    | nuc_0 → nuc_9        | unknown                   | data_download (55.3 MB)
t=  29.8s | network    | nuc_0 → nuc_8        | unknown                   | data_download (55.3 MB)
t=  29.9s | network    | registry → nuc_32    | unknown                   | docker_pull (190.7 MB)
