FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-28 17:02:54

Total deployment events: 3134
Number of node-function combinations: 1001

Event Type Summary:
  Deployment events: 8
  Replica events: 2293
  Network events: 833

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
t=  12.1s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
t=  12.2s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
t=  12.3s | network    | nuc_9 → nano_22      | unknown                   | data_download (98.2 MB)
t=  12.4s | network    | nuc_9 → nano_13      | unknown                   | data_download (98.2 MB)
t=  12.5s | network    | nuc_9 → nano_18      | unknown                   | data_download (98.2 MB)
t=  12.6s | network    | nuc_9 → nx_0         | unknown                   | data_download (98.2 MB)
t=  12.7s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  12.8s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  12.9s | network    | nuc_9 → nx_0         | unknown                   | data_download (98.2 MB)
t=  13.0s | replica    | tx2_0                | resnet50-inference-downtown | startup replica of resnet50-inference-downtown
t=  13.0s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  13.1s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  13.2s | network    | registry → nano_16   | unknown                   | docker_pull (95.4 MB)
t=  13.3s | network    | registry → nano_15   | unknown                   | docker_pull (95.4 MB)
t=  13.4s | network    | nuc_9 → tx2_4        | unknown                   | data_download (98.2 MB)
t=  13.5s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  13.6s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  13.7s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  13.8s | network    | registry → nano_8    | unknown                   | docker_pull (95.4 MB)
t=  13.9s | network    | registry → nano_12   | unknown                   | docker_pull (95.4 MB)
t=  14.0s | replica    | tx2_0                | resnet50-inference-downtown | setup replica of resnet50-inference-downtown
t=  14.0s | network    | nuc_9 → nx_1         | unknown                   | data_download (98.2 MB)
t=  14.1s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  14.2s | network    | nuc_9 → nano_9       | unknown                   | data_download (55.3 MB)
t=  14.3s | network    | nuc_9 → nx_1         | unknown                   | data_download (98.2 MB)
t=  14.4s | network    | nuc_9 → nano_21      | unknown                   | data_download (55.3 MB)
t=  14.5s | network    | registry → nano_4    | unknown                   | docker_pull (95.4 MB)
t=  14.6s | network    | registry → nano_5    | unknown                   | docker_pull (95.4 MB)
t=  14.7s | network    | nuc_9 → nano_9       | unknown                   | data_download (55.3 MB)
t=  14.8s | network    | nuc_9 → nano_21      | unknown                   | data_download (55.3 MB)
t=  14.9s | network    | nuc_9 → nano_9       | unknown                   | data_download (55.3 MB)
t=  15.0s | replica    | tx2_1                | resnet50-inference-suburb | startup replica of resnet50-inference-suburb
t=  15.0s | network    | registry → tx2_4     | unknown                   | docker_pull (95.4 MB)
t=  15.1s | network    | nuc_9 → nano_21      | unknown                   | data_download (55.3 MB)
t=  15.2s | network    | nuc_9 → nano_9       | unknown                   | data_download (55.3 MB)
t=  15.3s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=  15.4s | network    | nuc_9 → nano_21      | unknown                   | data_download (55.3 MB)
t=  15.5s | network    | nuc_9 → nano_19      | unknown                   | data_download (55.3 MB)
t=  15.6s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=  15.7s | network    | registry → tx2_0     | unknown                   | docker_pull (95.4 MB)
t=  15.8s | network    | registry → tx2_1     | unknown                   | docker_pull (95.4 MB)
t=  15.9s | network    | nuc_9 → nano_19      | unknown                   | data_download (55.3 MB)
t=  16.0s | replica    | tx2_1                | resnet50-inference-suburb | setup replica of resnet50-inference-suburb
t=  16.0s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=  16.1s | network    | nuc_9 → tx2_5        | unknown                   | data_download (98.2 MB)
t=  16.2s | network    | nuc_9 → nano_2       | unknown                   | data_download (98.2 MB)
t=  16.3s | network    | nuc_9 → tx2_6        | unknown                   | data_download (98.2 MB)
t=  16.4s | network    | nuc_9 → nano_0       | unknown                   | data_download (55.3 MB)
t=  16.5s | network    | registry → nano_0    | unknown                   | docker_pull (95.4 MB)
t=  16.6s | network    | registry → nano_1    | unknown                   | docker_pull (95.4 MB)
t=  16.7s | network    | registry → nano_17   | unknown                   | docker_pull (95.4 MB)
t=  16.8s | network    | nuc_9 → nano_19      | unknown                   | data_download (55.3 MB)
t=  16.9s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=  17.0s | replica    | nano_9               | resnet50-inference-industrial | startup replica of resnet50-inference-industrial
t=  17.0s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=  17.1s | network    | nuc_9 → nano_2       | unknown                   | data_download (55.3 MB)
t=  17.2s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=  17.3s | network    | nuc_9 → nano_20      | unknown                   | data_download (55.3 MB)
t=  17.4s | network    | nuc_9 → nano_19      | unknown                   | data_download (55.3 MB)
t=  17.5s | network    | registry → tx2_2     | unknown                   | docker_pull (95.4 MB)
t=  17.6s | network    | registry → nano_20   | unknown                   | docker_pull (95.4 MB)
t=  17.7s | network    | nuc_9 → nano_20      | unknown                   | data_download (55.3 MB)
t=  17.8s | network    | nuc_9 → nano_20      | unknown                   | data_download (55.3 MB)
t=  17.9s | network    | nuc_9 → nano_20      | unknown                   | data_download (55.3 MB)
t=  18.0s | replica    | nano_9               | resnet50-inference-industrial | setup replica of resnet50-inference-industrial
t=  18.0s | network    | nuc_9 → nano_6       | unknown                   | data_download (98.2 MB)
t=  18.1s | network    | nuc_9 → nano_10      | unknown                   | data_download (55.3 MB)
t=  18.2s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  18.3s | network    | registry → nano_10   | unknown                   | docker_pull (95.4 MB)
t=  18.4s | network    | registry → nano_22   | unknown                   | docker_pull (95.4 MB)
t=  18.5s | network    | nuc_9 → nano_4       | unknown                   | data_download (98.2 MB)
t=  18.6s | network    | nuc_9 → nano_5       | unknown                   | data_download (98.2 MB)
t=  18.7s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  18.8s | network    | nuc_9 → nano_2       | unknown                   | data_download (55.3 MB)
t=  18.9s | network    | registry → nano_11   | unknown                   | docker_pull (95.4 MB)
t=  19.0s | replica    | nano_16              | resnet50-inference-residential | startup replica of resnet50-inference-residential
t=  19.0s | network    | registry → tx2_6     | unknown                   | docker_pull (95.4 MB)
t=  19.1s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  19.2s | network    | nuc_9 → nano_2       | unknown                   | data_download (55.3 MB)
t=  19.3s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  19.4s | network    | registry → nano_3    | unknown                   | docker_pull (95.4 MB)
t=  19.5s | network    | nuc_9 → nano_11      | unknown                   | data_download (55.3 MB)
t=  19.6s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
t=  19.7s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  19.8s | network    | registry → xeongpu_0 | unknown                   | docker_pull (190.7 MB)
t=  19.9s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
t=  20.0s | replica    | nano_16              | resnet50-inference-residential | setup replica of resnet50-inference-residential
t=  20.0s | network    | nuc_9 → nano_2       | unknown                   | data_download (55.3 MB)
t=  20.1s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  20.2s | network    | registry → rpi4_12   | unknown                   | docker_pull (66.8 MB)
t=  20.3s | network    | registry → rpi4_13   | unknown                   | docker_pull (66.8 MB)
t=  20.4s | network    | registry → rpi3_3    | unknown                   | docker_pull (66.8 MB)
t=  20.5s | network    | registry → rpi3_4    | unknown                   | docker_pull (66.8 MB)
t=  20.6s | network    | nuc_9 → nano_3       | unknown                   | data_download (55.3 MB)
t=  20.7s | network    | registry → nuc_0     | unknown                   | docker_pull (190.7 MB)
t=  20.8s | network    | registry → nuc_27    | unknown                   | docker_pull (190.7 MB)
t=  20.9s | network    | nuc_9 → nano_7       | unknown                   | data_download (55.3 MB)
t=  21.0s | replica    | nano_15              | resnet50-inference-commercial | startup replica of resnet50-inference-commercial
t=  21.0s | network    | registry → rpi3_5    | unknown                   | docker_pull (66.8 MB)
t=  21.1s | network    | registry → rpi3_18   | unknown                   | docker_pull (66.8 MB)
t=  21.2s | network    | registry → rpi3_19   | unknown                   | docker_pull (66.8 MB)
t=  21.3s | network    | registry → rpi3_20   | unknown                   | docker_pull (66.8 MB)
t=  21.4s | network    | registry → rpi4_28   | unknown                   | docker_pull (66.8 MB)
t=  21.5s | network    | registry → rpi4_29   | unknown                   | docker_pull (66.8 MB)
t=  21.6s | network    | registry → nuc_38    | unknown                   | docker_pull (190.7 MB)
t=  21.7s | network    | registry → nuc_47    | unknown                   | docker_pull (190.7 MB)
t=  21.8s | network    | nuc_9 → nano_16      | unknown                   | data_download (55.3 MB)
